Time,MpKrakAlKras-CO-1g,MpKrakBulwar-CO-1g
2017-01-01 01:00:00,1.6338,1.28821
2017-01-01 02:00:00,1.8426,1.44187
2017-01-01 03:00:00,1.9406,1.64016
2017-01-01 04:00:00,2.07465,1.73092
2017-01-01 05:00:00,1.88429,1.54769
2017-01-01 06:00:00,1.75984,1.56424
2017-01-01 07:00:00,1.6911,1.50569
2017-01-01 08:00:00,1.63201,1.41341
2017-01-01 09:00:00,1.5698,1.30331
2017-01-01 10:00:00,1.5289,1.19849
2017-01-01 11:00:00,1.33471,1.06573
2017-01-01 12:00:00,1.23998,1.02237
2017-01-01 13:00:00,1.14538,1.03324
2017-01-01 14:00:00,1.23098,0.89971
2017-01-01 15:00:00,1.29157,0.91861
2017-01-01 16:00:00,1.7588,1.18011
2017-01-01 17:00:00,1.85665,1.37137
2017-01-01 18:00:00,1.83422,1.64294
2017-01-01 19:00:00,2.37865,2.43519
2017-01-01 20:00:00,2.49108,2.46926
2017-01-01 21:00:00,2.52289,2.66133
2017-01-01 22:00:00,2.1549,2.33082
2017-01-01 23:00:00,1.81798,2.26932
2017-01-02 00:00:00,1.64818,2.31668
2017-01-02 01:00:00,1.79209,2.08726
2017-01-02 02:00:00,1.46922,1.81158
2017-01-02 03:00:00,1.44819,1.58872
2017-01-02 04:00:00,1.35017,1.34725
2017-01-02 05:00:00,1.37948,1.26332
2017-01-02 06:00:00,1.73086,1.50631
2017-01-02 07:00:00,1.84459,1.76348
2017-01-02 08:00:00,2.05149,1.70729
2017-01-02 09:00:00,1.68029,1.63949
2017-01-02 10:00:00,0.78066,0.91698
2017-01-02 11:00:00,0.76248,0.62094
2017-01-02 12:00:00,0.74944,0.66431
2017-01-02 13:00:00,0.69162,0.64006
2017-01-02 14:00:00,0.67021,0.58958
2017-01-02 15:00:00,0.74344,0.69193
2017-01-02 16:00:00,0.85783,0.75837
2017-01-02 17:00:00,0.8999,0.78895
2017-01-02 18:00:00,0.88066,0.72781
2017-01-02 19:00:00,0.93681,0.78458
2017-01-02 20:00:00,0.99095,0.7981
2017-01-02 21:00:00,0.94993,0.80815
2017-01-02 22:00:00,0.91817,0.82549
2017-01-02 23:00:00,0.857,0.8501
2017-01-03 00:00:00,0.82732,0.82713
2017-01-03 01:00:00,0.73137,0.80649
2017-01-03 02:00:00,0.6473,0.75931
2017-01-03 03:00:00,0.63588,0.69114
2017-01-03 04:00:00,0.67235,0.70482
2017-01-03 05:00:00,0.64482,0.70755
2017-01-03 06:00:00,0.7528,0.76524
2017-01-03 07:00:00,0.86994,0.77673
2017-01-03 08:00:00,1.01693,0.80738
2017-01-03 09:00:00,1.06899,0.82567
2017-01-03 10:00:00,0.97568,0.67802
2017-01-03 11:00:00,0.76001,0.61756
2017-01-03 12:00:00,0.72482,0.56321
2017-01-03 13:00:00,0.62115,0.50288
2017-01-03 14:00:00,0.62331,0.49981
2017-01-03 15:00:00,0.68564,0.55497
2017-01-03 16:00:00,0.69266,0.56419
2017-01-03 17:00:00,0.84965,0.56196
2017-01-03 18:00:00,0.77141,0.55707
2017-01-03 19:00:00,0.69803,0.5648
2017-01-03 20:00:00,0.63614,0.48907
2017-01-03 21:00:00,0.55946,0.48865
2017-01-03 22:00:00,0.57063,0.53291
2017-01-03 23:00:00,0.53708,0.47664
2017-01-04 00:00:00,0.50843,0.44431
2017-01-04 01:00:00,0.40812,0.40961
2017-01-04 02:00:00,0.38943,0.38406
2017-01-04 03:00:00,0.37604,0.36899
2017-01-04 04:00:00,0.38013,0.37988
2017-01-04 05:00:00,0.38881,0.3828
2017-01-04 06:00:00,0.43318,0.43747
2017-01-04 07:00:00,0.53553,0.48432
2017-01-04 08:00:00,0.71045,0.53819
2017-01-04 09:00:00,0.66252,0.55178
2017-01-04 11:00:00,0.55618,0.48818
2017-01-04 12:00:00,0.6164,0.51624
2017-01-04 13:00:00,0.61097,0.45617
2017-01-04 14:00:00,0.6031,0.44452
2017-01-04 15:00:00,0.58459,0.44205
2017-01-04 16:00:00,0.62315,0.48388
2017-01-04 17:00:00,0.6594,0.47462
2017-01-04 18:00:00,0.60107,0.45375
2017-01-04 19:00:00,0.56417,0.45532
2017-01-04 20:00:00,0.54854,0.46441
2017-01-04 21:00:00,0.4935,0.45832
2017-01-04 22:00:00,0.48055,0.43901
2017-01-04 23:00:00,0.47066,0.43141
2017-01-05 00:00:00,0.45386,0.43262
2017-01-05 01:00:00,0.41294,0.41354
2017-01-05 02:00:00,0.37819,0.37297
2017-01-05 03:00:00,0.37543,0.34627
2017-01-05 04:00:00,0.3773,0.39294
2017-01-05 05:00:00,0.37435,0.37663
2017-01-05 06:00:00,0.43296,0.46921
2017-01-05 07:00:00,0.535,0.41101
2017-01-05 08:00:00,0.67499,0.38431
2017-01-05 09:00:00,0.6137,0.42342
2017-01-05 10:00:00,0.60147,0.3502
2017-01-05 11:00:00,0.56939,0.33672
2017-01-05 12:00:00,0.5684,0.33721
2017-01-05 13:00:00,0.54613,0.32439
2017-01-05 14:00:00,0.5675,0.32736
2017-01-05 15:00:00,0.62556,0.35705
2017-01-05 16:00:00,0.76492,0.4292
2017-01-05 17:00:00,0.8889,0.49465
2017-01-05 18:00:00,0.84347,0.50615
2017-01-05 19:00:00,0.8202,0.47215
2017-01-05 20:00:00,0.77555,0.42285
2017-01-05 21:00:00,0.75036,0.41474
2017-01-05 22:00:00,0.61207,0.35951
2017-01-05 23:00:00,0.52097,0.31429
2017-01-06 00:00:00,0.50812,0.29108
2017-01-06 01:00:00,0.46017,0.28569
2017-01-06 02:00:00,0.3953,0.29204
2017-01-06 03:00:00,0.39432,0.31025
2017-01-06 04:00:00,0.37234,0.31956
2017-01-06 05:00:00,0.36362,0.30387
2017-01-06 06:00:00,0.37587,0.32229
2017-01-06 07:00:00,0.40731,0.31571
2017-01-06 08:00:00,0.44638,0.33761
