Time,MpKrakAlKras-NOx-1g,MpKrakBulwar-NOx-1g
2017-01-01 01:00:00,217.944,73.1458
2017-01-01 02:00:00,265.711,71.6746
2017-01-01 03:00:00,180.385,63.8444
2017-01-01 04:00:00,199.953,60.5441
2017-01-01 05:00:00,205.872,60.2435
2017-01-01 06:00:00,152.624,66.3306
2017-01-01 07:00:00,147.917,64.3835
2017-01-01 08:00:00,130.259,52.5434
2017-01-01 09:00:00,113.607,44.3356
2017-01-01 10:00:00,118.311,38.0908
2017-01-01 11:00:00,107.099,36.173
2017-01-01 12:00:00,120.327,35.038
2017-01-01 13:00:00,152.387,39.2811
2017-01-01 14:00:00,254.926,43.7668
2017-01-01 15:00:00,261.126,55.3599
2017-01-01 16:00:00,431.507,117.202
2017-01-01 17:00:00,404.404,165.466
2017-01-01 18:00:00,456.753,257.722
2017-01-01 19:00:00,605.397,408.791
2017-01-01 20:00:00,545.488,327.742
2017-01-01 21:00:00,391.157,362.596
2017-01-01 22:00:00,303.419,181.477
2017-01-01 23:00:00,229.646,184.624
2017-01-02 00:00:00,179.755,165.065
2017-01-02 01:00:00,167.785,139.857
2017-01-02 02:00:00,86.1351,96.7855
2017-01-02 03:00:00,113.709,82.4949
2017-01-02 04:00:00,104.851,56.0366
2017-01-02 05:00:00,175.304,104.32
2017-01-02 06:00:00,342.037,177.965
2017-01-02 07:00:00,386.492,280.733
2017-01-02 08:00:00,515.255,234.694
2017-01-02 09:00:00,460.338,239.403
2017-01-02 10:00:00,178.008,98.8648
2017-01-02 11:00:00,194.035,48.2797
2017-01-02 12:00:00,158.269,55.6674
2017-01-02 13:00:00,129.222,50.8896
2017-01-02 14:00:00,144.496,46.9694
2017-01-02 15:00:00,176.262,65.7601
2017-01-02 16:00:00,193.075,81.514
2017-01-02 17:00:00,212.928,75.8868
2017-01-02 18:00:00,192.448,55.2946
2017-01-02 19:00:00,204.69,63.0238
2017-01-02 20:00:00,237.75,63.6102
2017-01-02 21:00:00,194.894,56.5868
2017-01-02 22:00:00,149.367,52.7569
2017-01-02 23:00:00,119.189,52.006
2017-01-03 00:00:00,105.601,47.9488
2017-01-03 01:00:00,61.1628,43.2362
