Time,MpKrakAlKras-PM10-1g,MpKrakBulwar-PM10-1g
2017-01-01 01:00:00,213.733,188.308
2017-01-01 02:00:00,213.868,193.168
2017-01-01 03:00:00,221.923,175.267
2017-01-01 04:00:00,244.69,179.422
2017-01-01 05:00:00,224.673,158.296
2017-01-01 06:00:00,212.159,157.84
2017-01-01 07:00:00,198.375,145.898
2017-01-01 08:00:00,191.881,131.818
2017-01-01 09:00:00,187.32,119.199
2017-01-01 10:00:00,181.194,103.742
2017-01-01 11:00:00,161.198,92.2124
2017-01-01 12:00:00,136.218,79.5701
2017-01-01 13:00:00,121.805,83.2843
2017-01-01 14:00:00,119.096,67.1154
2017-01-01 15:00:00,121.681,71.6787
2017-01-01 16:00:00,138.353,92.275
2017-01-01 17:00:00,150.415,116.38
2017-01-01 18:00:00,161.587,137.275
2017-01-01 19:00:00,197.133,173.578
2017-01-01 20:00:00,217.923,188.922
2017-01-01 21:00:00,250.248,192.74
2017-01-01 22:00:00,227.516,204.113
2017-01-01 23:00:00,180.035,187.746
2017-01-02 00:00:00,172.937,201.122
2017-01-02 01:00:00,183.753,151.213
2017-01-02 02:00:00,175.653,130.01
2017-01-02 03:00:00,165.996,120.005
2017-01-02 04:00:00,161.859,103.83
2017-01-02 05:00:00,148.047,101.163
2017-01-02 06:00:00,155.74,109.908
2017-01-02 07:00:00,172.183,115.359
2017-01-02 08:00:00,164.058,103.552
2017-01-02 09:00:00,128.782,104.92
2017-01-02 10:00:00,63.6029,64.3442
2017-01-02 11:00:00,65.9497,44.8916
2017-01-02 12:00:00,63.7852,44.4019
2017-01-02 13:00:00,56.4587,42.0117
2017-01-02 14:00:00,58.4029,36.4354
2017-01-02 15:00:00,60.9776,38.7639
2017-01-02 16:00:00,62.9084,38.6283
2017-01-02 17:00:00,68.6024,42.647
2017-01-02 18:00:00,63.4646,40.2908
2017-01-02 19:00:00,74.1618,46.6679
2017-01-02 20:00:00,82.8891,49.7958
2017-01-02 21:00:00,80.4899,49.6631
2017-01-02 22:00:00,84.9774,51.8078
2017-01-02 23:00:00,81.5429,49.5031
2017-01-03 00:00:00,76.635,51.2365
2017-01-03 01:00:00,70.8453,48.24
2017-01-03 02:00:00,60.4085,43.4532
2017-01-03 03:00:00,60.233,43.0819
2017-01-03 04:00:00,64.6024,38.7522
2017-01-03 05:00:00,59.0521,39.9019
2017-01-03 06:00:00,64.4128,41.4518
2017-01-03 07:00:00,56.8681,40.7131
2017-01-03 08:00:00,53.0414,37.6037
2017-01-03 09:00:00,60.4785,36.1703
2017-01-03 10:00:00,65.2123,37.6447
2017-01-03 11:00:00,49.0609,33.7724
2017-01-03 12:00:00,39.8876,26.4647
2017-01-03 13:00:00,35.0581,24.2184
2017-01-03 14:00:00,32.8196,18.412
2017-01-03 15:00:00,33.7029,19.4486
2017-01-03 16:00:00,32.6704,23.7435
2017-01-03 17:00:00,38.2005,22.3304
2017-01-03 18:00:00,40.6326,23.8697
2017-01-03 19:00:00,36.8893,20.5839
2017-01-03 20:00:00,28.6372,21.0102
2017-01-03 21:00:00,20.6859,17.2836
2017-01-03 22:00:00,30.391,14.6268
2017-01-03 23:00:00,24.8553,16.4692
2017-01-04 00:00:00,21.6576,14.2563
2017-01-04 01:00:00,14.4917,10.7738
2017-01-04 02:00:00,11.6354,10.7151
2017-01-04 03:00:00,11.2963,7.62512
2017-01-04 04:00:00,9.41525,17.4215
2017-01-04 05:00:00,9.99736,7.91881
2017-01-04 06:00:00,9.51672,9.82685
2017-01-04 07:00:00,15.067,9.28476
2017-01-04 08:00:00,20.0745,14.3524
2017-01-04 09:00:00,20.6671,11.5865
