Time,MpKrakAlKras-PM2.5-1g,MpKrakBulwar-PM2.5-1g
2017-01-01 01:00:00,177.442,154.246
2017-01-01 02:00:00,178.942,145.81
2017-01-01 03:00:00,187.503,131.457
2017-01-01 04:00:00,206.545,138.577
2017-01-01 05:00:00,187.565,118.453
2017-01-01 06:00:00,178.409,120.642
2017-01-01 07:00:00,167.08,112.156
2017-01-01 08:00:00,162.086,101.902
2017-01-01 09:00:00,157.246,95.4731
2017-01-01 10:00:00,151.902,79.9294
2017-01-01 11:00:00,131.009,69.157
2017-01-01 12:00:00,111.237,60.6977
2017-01-01 13:00:00,96.6992,68.573
2017-01-01 14:00:00,92.9273,49.9176
2017-01-01 15:00:00,95.9047,49.5391
2017-01-01 16:00:00,105.786,58.4879
2017-01-01 17:00:00,118.675,75.3844
2017-01-01 18:00:00,127.768,82.8207
2017-01-01 19:00:00,157.077,111.802
2017-01-01 20:00:00,176.011,124.822
2017-01-01 21:00:00,206.559,127.155
2017-01-01 22:00:00,188.78,158.206
2017-01-01 23:00:00,151.098,135.728
2017-01-02 00:00:00,145.35,148.372
2017-01-02 01:00:00,155.056,123.212
2017-01-02 02:00:00,149.367,112.937
2017-01-02 03:00:00,140.502,103.622
2017-01-02 04:00:00,137.119,89.2528
2017-01-02 05:00:00,124.646,86.3358
2017-01-02 06:00:00,129.744,86.3408
2017-01-02 07:00:00,144.142,88.0352
2017-01-02 08:00:00,136.497,78.9617
2017-01-02 09:00:00,102.851,70.7453
2017-01-02 10:00:00,46.3005,40.4857
2017-01-02 11:00:00,47.0677,23.1992
2017-01-02 12:00:00,49.6163,28.0519
2017-01-02 13:00:00,45.0784,32.7449
2017-01-02 14:00:00,40.3953,26.014
2017-01-02 15:00:00,48.562,31.5436
2017-01-02 16:00:00,51.3933,34.9248
2017-01-02 17:00:00,56.9044,37.6846
2017-01-02 18:00:00,54.1387,35.4675
2017-01-02 19:00:00,62.4631,41.6107
2017-01-02 20:00:00,66.8192,37.4367
2017-01-02 21:00:00,65.7655,37.3961
2017-01-02 22:00:00,70.2308,44.6401
2017-01-02 23:00:00,68.4553,43.6905
2017-01-03 00:00:00,64.3993,43.2543
2017-01-03 01:00:00,60.3435,41.987
2017-01-03 02:00:00,51.2279,37.9915
2017-01-03 03:00:00,51.3788,32.5449
2017-01-03 04:00:00,54.8884,34.4515
2017-01-03 05:00:00,50.082,34.2019
2017-01-03 06:00:00,54.17,33.3826
2017-01-03 07:00:00,47.5316,29.3347
2017-01-03 08:00:00,44.2941,28.832
2017-01-03 09:00:00,49.3665,30.8873
2017-01-03 10:00:00,51.7197,27.7135
2017-01-03 11:00:00,39.2401,24.1996
2017-01-03 12:00:00,32.07,22.1012
2017-01-03 13:00:00,27.2393,15.3946
2017-01-03 14:00:00,25.7836,13.691
2017-01-03 15:00:00,27.6005,14.3088
2017-01-03 16:00:00,27.1411,15.8906
2017-01-03 17:00:00,32.1503,16.9843
2017-01-03 18:00:00,33.7379,17.7544
2017-01-03 19:00:00,30.4189,17.6139
2017-01-03 20:00:00,23.7692,12.9368
2017-01-03 21:00:00,17.4419,12.1252
2017-01-03 22:00:00,24.8575,12.0393
2017-01-03 23:00:00,20.5949,13.5365
2017-01-04 00:00:00,17.9837,12.6286
2017-01-04 01:00:00,11.8657,8.75438
2017-01-04 02:00:00,9.61644,6.26738
2017-01-04 03:00:00,8.8928,4.95203
2017-01-04 04:00:00,7.74013,8.13324
2017-01-04 05:00:00,7.73609,6.27721
2017-01-04 06:00:00,7.43057,4.58635
2017-01-04 07:00:00,10.6027,5.47093
2017-01-04 08:00:00,13.7132,4.59277
2017-01-04 09:00:00,14.6151,5.38825
2017-01-04 10:00:00,13.8752,10.575
2017-01-04 11:00:00,11.1552,7.516
2017-01-04 12:00:00,16.8868,7.53902
2017-01-04 13:00:00,11.9355,7.73418
2017-01-04 14:00:00,10.5019,5.35572
2017-01-04 15:00:00,11.5201,6.96644
2017-01-04 16:00:00,11.9121,10.3968
2017-01-04 17:00:00,12.5583,7.92673
2017-01-04 18:00:00,14.256,7.31392
2017-01-04 19:00:00,13.9188,8.80951
2017-01-04 20:00:00,13.66,10.0082
2017-01-04 21:00:00,11.7345,10.6992
2017-01-04 22:00:00,13.2704,9.06633
2017-01-04 23:00:00,11.6617,8.25445
2017-01-05 00:00:00,10.8973,6.82083
2017-01-05 01:00:00,11.6852,6.38069
2017-01-05 02:00:00,12.5617,5.67644
2017-01-05 03:00:00,6.98973,6.05701
2017-01-05 04:00:00,7.40569,3.84948
2017-01-05 05:00:00,8.05964,4.38524
2017-01-05 06:00:00,10.1957,7.62371
2017-01-05 07:00:00,11.0519,8.59049
2017-01-05 08:00:00,15.0463,6.63102
2017-01-05 09:00:00,14.9443,8.02218
2017-01-05 10:00:00,15.5279,9.31047
2017-01-05 11:00:00,14.4977,7.30924
2017-01-05 12:00:00,13.6325,7.43236
2017-01-05 13:00:00,11.9675,8.71903
2017-01-05 14:00:00,11.2143,7.16619
2017-01-05 15:00:00,15.9827,6.88538
2017-01-05 16:00:00,16.0141,8.8352
2017-01-05 17:00:00,22.3643,11.1509
2017-01-05 18:00:00,25.1767,10.1006
2017-01-05 19:00:00,19.4369,11.6166
2017-01-05 20:00:00,25.6128,10.779
2017-01-05 21:00:00,31.6435,13.4342
2017-01-05 22:00:00,26.4211,10.7796
2017-01-05 23:00:00,22.4087,8.37956
2017-01-06 00:00:00,22.7773,6.09988
2017-01-06 01:00:00,21.7952,7.20209
2017-01-06 02:00:00,22.0325,5.85758
2017-01-06 03:00:00,21.256,8.32889
2017-01-06 04:00:00,21.1764,11.9535
2017-01-06 05:00:00,24.1689,8.27732
2017-01-06 06:00:00,30.7779,9.62391
2017-01-06 07:00:00,28.3213,14.9724
2017-01-06 08:00:00,32.6585,15.1449
2017-01-06 09:00:00,36.0553,15.3493
2017-01-06 10:00:00,35.6947,18.7972
2017-01-06 11:00:00,32.8083,16.048
2017-01-06 12:00:00,31.1976,6.75877
2017-01-06 13:00:00,20.7415,12.7089
2017-01-06 14:00:00,36.2416,15.656
2017-01-06 15:00:00,44.1681,18.8032
2017-01-06 16:00:00,41.8345,15.5711
2017-01-06 17:00:00,46.8769,17.9095
2017-01-06 18:00:00,50.7917,22.2253
2017-01-06 19:00:00,56.4505,27.467
2017-01-06 20:00:00,50.2192,21.6798
2017-01-06 21:00:00,46.5512,25.0035
2017-01-06 22:00:00,70.1636,20.7597
2017-01-06 23:00:00,100.169,25.0533
2017-01-07 00:00:00,96.7795,35.6782
2017-01-07 01:00:00,128.32,42.2332
2017-01-07 02:00:00,133.393,35.4079
2017-01-07 03:00:00,167.761,70.8168
2017-01-07 04:00:00,165.285,57.8005
2017-01-07 05:00:00,169.784,65.1368
2017-01-07 06:00:00,166.541,67.3669
