date, pm25, pm10, o3, no2, so2, co
2024/10/1, 112, 70, , 99, 13, 47
2024/10/2, 115, 82, , 102, 15, 22
2024/10/3, 123, 71, , 102, 14, 24
2024/10/4, 115, , , , , 
2024/10/6, 68, , , , , 
2024/7/2, 103, 72, , 60, 15, 31
2024/7/3, 119, 72, 75, 102, 20, 42
2024/7/4, 127, 75, 75, 102, 15, 45
2024/7/5, 147, 62, 57, 82, 19, 36
2024/7/6, 117, 53, , 62, 16, 18
2024/7/7, 108, 52, , 50, 12, 14
2024/7/8, 94, 60, , 58, 12, 21
2024/7/9, 93, 63, , 57, 11, 27
2024/7/10, 105, 73, 50, 58, 12, 27
2024/7/11, 120, 77, 58, 70, , 35
2024/7/12, 122, 58, 58, 82, , 17
2024/7/13, 96, 59, 52, 64, , 19
2024/7/14, 95, 63, 56, 61, 11, 25
2024/7/15, 92, 53, 65, 55, , 27
2024/7/16, 79, 60, 59, 68, 10, 43
2024/7/17, 96, 68, 56, 75, 10, 37
2024/7/18, 102, 71, 50, 67, 9, 27
2024/7/19, 114, 61, 52, 51, 8, 17
2024/7/20, 92, , , , , 
2024/7/23, 134, , 65, 102, 14, 55
2024/7/24, 124, , 53, 92, 15, 44
2024/7/25, 114, , , 67, 11, 24
2024/7/26, 120, , 58, 68, 12, 54
2024/7/27, 131, , , , , 
2024/8/1, 148, , 65, 70, 18, 32
2024/8/2, 139, , 63, 36, 13, 41
2024/8/3, 130, 106, 54, 22, 13, 42
2024/8/4, 116, 91, 63, 31, 16, 59
2024/8/5, 122, 87, 61, 52, 22, 50
2024/8/6, 122, 79, , 92, 22, 50
2024/8/7, 128, , , 89, 16, 25
2024/8/8, 111, , , , , 
2024/8/10, 113, 80, 54, 50, 14, 76
2024/8/11, 112, 116, 54, 48, 12, 28
2024/8/12, 150, 90, , 37, 14, 78
2024/8/13, 129, , , 10, 15, 25
2024/8/14, 156, , , , , 
2024/8/17, 92, 98, , 23, 11, 28
2024/8/18, 100, 89, , 48, 11, 37
2024/8/19, 113, 75, , 79, 10, 34
2024/8/20, 98, 81, , 81, 14, 38
2024/8/21, 98, 68, 58, 77, 16, 57
2024/8/22, 88, 63, 58, 80, 16, 54
2024/8/23, 83, 68, 55, 99, 16, 58
2024/8/24, 95, 58, , 82, 15, 36
2024/8/25, 86, 56, , 72, 16, 63
2024/8/26, 86, 62, 60, 76, 17, 61
2024/8/27, 88, 91, 60, 80, 17, 56
2024/8/28, 112, 76, 54, 78, 13, 42
2024/8/29, 109, 57, 53, 55, 12, 34
2024/8/30, 88, 54, , 56, 14, 37
2024/8/31, 75, 59, 54, 90, 19, 47
2024/9/1, 114, 64, 54, 86, 17, 69
2024/9/2, 156, 62, 62, 85, 16, 54
2024/9/3, 156, 69, 62, 100, 19, 59
2024/9/4, 157, 65, , 99, 18, 62
2024/9/5, 151, 75, , 97, 20, 76
2024/9/6, 155, 114, 56, 74, 14, 33
2024/9/7, 158, 76, 53, 66, 15, 53
2024/9/8, 148, 72, 53, 48, 18, 63
2024/9/9, 118, 71, , 74, 16, 52
2024/9/10, 120, 70, , 76, 16, 51
2024/9/11, 121, 70, , 92, 17, 75
2024/9/12, 109, 67, 55, 84, 15, 66
2024/9/13, 119, 114, 55, 69, 13, 32
2024/9/14, 152, 84, , 62, 12, 27
2024/9/15, 132, 53, 55, 64, 11, 29
2024/9/16, 86, 51, , 65, 12, 41
2024/9/17, 86, 60, , 81, 15, 49
2024/9/18, 96, 71, , 57, 12, 28
2024/9/19, 83, 61, , 60, 12, 41
2024/9/20, 80, 70, , 47, 14, 54
2024/9/21, 94, 72, , 94, 17, 95
2024/9/22, 147, 64, , 93, 15, 48
2024/9/23, 103, 72, 52, 86, 24, 46
2024/9/24, 116, 78, , 91, 16, 52
2024/9/25, 120, 111, , 55, 13, 26
2024/9/26, 136, 62, , 60, 11, 29
2024/9/27, 83, 45, , 48, 11, 32
2024/9/28, 79, 38, , 49, 11, 31
2024/9/29, 72, 51, , 50, 12, 37
