date, pm25, pm10, o3, no2, so2, co
2024/10/1, 141, 83, 54, 102, 21, 47
2024/10/2, 150, 74, , 103, 28, 43
2024/10/3, 119, 68, , 103, 16, 27
2024/10/4, 110, , , , , 
2024/10/6, 103, , , , , 
2024/7/2, 114, 104, , 64, 17, 33
2024/7/3, 135, 104, 62, 105, 13, 35
2024/7/4, 135, , , , , 
2024/7/7, 97, 71, , 71, 11, 19
2024/7/8, 94, 75, , 97, 17, 32
2024/7/9, 93, , , , , 
2024/7/11, 148, , 58, 96, 17, 29
2024/7/12, 145, , 59, 84, 14, 22
2024/7/13, 111, , 59, 81, 21, 17
2024/7/14, 119, , 69, 73, 16, 19
2024/7/15, 100, , 74, 63, 15, 24
2024/7/16, 93, , 68, 80, 24, 53
2024/7/17, 90, , 64, 99, 24, 43
2024/7/18, 103, , 59, 92, 15, 27
2024/7/19, 107, , 54, 60, 10, 15
2024/7/20, 103, , , , , 
2024/7/23, 153, , 62, 98, 22, 53
2024/7/24, 143, , , , , 
2024/7/26, 137, , 65, 75, 26, 79
2024/7/27, 127, , , , , 
2024/8/1, 159, , , , , 
2024/8/4, 153, , 78, 106, 24, 64
2024/8/5, 147, , 84, 107, 46, 56
2024/8/6, 143, , 68, 105, 36, 65
2024/8/7, 129, , , , , 
2024/8/11, 145, , 61, 79, 12, 22
2024/8/12, 152, , 92, 99, 18, 59
2024/8/13, 142, , 92, 105, 18, 29
2024/8/14, 155, , , , , 
2024/8/17, 130, , 72, 89, 14, 20
2024/8/18, 137, , 63, 73, 14, 18
2024/8/19, 140, , 67, 86, 19, 45
2024/8/20, 128, , 70, 87, 16, 19
2024/8/21, 125, , 70, 66, 26, 53
2024/8/22, 116, , 78, 86, 26, 
2024/8/23, 106, , 78, 101, 20, 62
2024/8/24, 118, , 62, 74, 16, 30
2024/8/25, 95, , 68, 66, 24, 63
2024/8/26, 100, , 68, 90, 23, 60
2024/8/27, 109, , 76, 97, 23, 42
2024/8/28, 137, , 89, 100, 20, 33
2024/8/29, 124, , 89, 58, 13, 14
2024/8/30, 97, , 76, 56, 13, 24
2024/8/31, 88, 61, 80, 72, 25, 43
2024/9/1, 88, 68, 80, 76, 32, 76
2024/9/2, 96, 65, 81, 77, 26, 52
2024/9/3, 93, 78, 81, 90, 28, 70
2024/9/4, 110, 70, 79, 74, 27, 58
2024/9/5, 107, 74, 79, , 32, 70
2024/9/6, 118, 123, 75, , 18, 27
2024/9/7, 143, 91, 76, 85, 17, 29
2024/9/8, 124, 79, 88, 97, 23, 53
2024/9/9, 120, 82, 88, 100, 21, 57
2024/9/10, 120, 79, 69, 98, 25, 62
2024/9/11, 119, 77, 69, 102, 29, 
2024/9/12, 113, 68, 66, 98, 25, 
2024/9/13, 106, 86, 71, 84, 15, 23
2024/9/14, 161, 102, 71, 81, 12, 19
2024/9/15, 152, 63, 55, 82, 11, 18
2024/9/16, 104, 56, 64, 79, 12, 24
